Block,Level,Unit,Building_name,House_number,Street_name,Township,Postcode,Locality_name,State,,
C,1,10,SERI JATI FLAT,,JALAN PJU 1A/5,TAMAN PERINDUSTRIAN JAYA,47301,PETALING JAYA,SELANGOR,,
F,11,1,PPR LEMBAH SUBANG,,JALAN PJU 1A/40,TAMAN PUTRA DAMAI,47301,PETALING JAYA,SELANGOR,,
,,,,,JALAN PJU 1A/42,TAMAN PUTRA DAMAI,47301,PETALING JAYA,SELANGOR,,
C,1,127,,,,TAMAN PUTRA DAMAI,47301,PETALING JAYA,SELANGOR,,
D,,117,FLAT TAMAN PUTRA DAMAI,117,JALAN PJU 1A/40,TAMAN PUTRA DAMAI,47301,PETALING JAYA,SELANGOR,,
,,,,11,JALAN SS 24/1,TAMAN MEGAH,47301,PETALING JAYA,SELANGOR,,
B,10,5,BAYU PUTERI APARTMENT,5,JALAN TROPICANA SELATAN,TROPICANA,47800,PETALING JAYA,SELANGOR,,
,,,,18,JALAN SS 21/15,DAMANSARA UTAMA SS21,47400,PETALING JAYA,SELANGOR,,
,,,,34,JALAN SS 21/35,DAMANSARA UTAMA SS21,47400,PETALING JAYA,SELANGOR,,
,,,,28,JALAN SS 21/44,DAMANSARA UTAMA SS21,47400,PETALING JAYA,SELANGOR,,
,,,,1028,JALAN CEMPAKA,KAMPUNG SUNGAI KAYU ARA,47400,PETALING JAYA,SELANGOR,,
G,,,PANGSAPURI PELANGI ARA,,JALAN TERATAI,KAMPUNG SUNGAI KAYU ARA,47400,PETALING JAYA,SELANGOR,,
2,13A,7,PUNCAK NUSA KELANA CONDOMINIUM,,JALAN PJU 1A/48,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
,,,PUNCAK DAMANSARA CONDOMINIUM,,JALAN TERATAI,KAMPUNG SUNGAI KAYU ARA,47400,PETALING JAYA,SELANGOR,,
,,,,,JALAN SS 22/43,PALM RESERVE,47400,PETALING JAYA,SELANGOR,,
,,,PELANGI UTAMA CONDOMINIUM,,JALAN MASJID,KAMPUNG SUNGAI KAYU ARA,47400,PETALING JAYA,SELANGOR,,
G,3A,18,PANGSAPURI PELANGI ARA,,JALAN TERATAI,KAMPUNG SUNGAI KAYU ARA,47400,PETALING JAYA,SELANGOR,,
,,,CEMPAKA UTAMA,,JALAN CEMPAKA PJU/6A,,47400,PETALING JAYA,SELANGOR,,
,,,,45,JALAN SS 22/29,DAMANSARA JAYA,47400,PETALING JAYA,SELANGOR,,
,,,LAMAN 38,,JALAN JENJARUM,TAMAN SEA,47400,PETALING JAYA,SELANGOR,,
,,,LAMAN 38,,JALAN JENJARUM,TAMAN SEA,47400,PETALING JAYA,SELANGOR,,
,,,,49,JALAN SS 23/29,PETALING JAYA - SEKSYEN SS 20 - SS 23,47400,PETALING JAYA,SELANGOR,,
,,,,17,JALAN PJU 1A/50B,DAMANSARA IDAMAN,47410,PETALING JAYA,SELANGOR,,
B,,,CASA TROPICANA,,PERSIARAN TROPICANA,TROPICANA,47410,PETALING JAYA,SELANGOR,,
,,,SUNWAY SUTERA CONDO,,JALAN TROPICANA UTARA,SUNWAY DAMANSARA,47410,PETALING JAYA,SELANGOR,,
,,,,49,JALAN TR 2/3,TROPICANA GOLF & COUNTRY RESORT,47410,PETALING JAYA,SELANGOR,,
,,,,86,JALAN TROPICANA UTAMA,TROPICANA,47410,PETALING JAYA,SELANGOR,,
,,,RIANA GREEN CONDO (BLOK E HINGGA M),1,JALAN TROPICANA UTARA,TROPICANA,47410,PETALING JAYA,SELANGOR,,
J,,,RIANA GREEN CONDO (BLOK E HINGGA M),,JALAN TROPICANA UTARA,TROPICANA,47410,PETALING JAYA,SELANGOR,,
